Commune;Commune 2;Numéro voie;Nom voie;INSEE;EPCI;Canton;Arrondissement;Numéro de tronçon;Identifiant tronçon;Code itinéraire;PNR Perche;PROPAGEACC;Statut;Propriétaire;Type propriété;Date inscription PDIPR;Date délibération commune;PDF délibération commune;URL délibération commune;Date délibération CD;PDF délibération CD;URL délibération CD;geo_point_2d;geo_shape;Longueur;OBJECTID;SHAPE_LENG;st_length(shape)
Saintigny;SAINTIGNY;54;des Bordes aux Gauleries;28331;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr20.2;tr20.2-28331;VTT16-28165,St.Michel-28085,GR35-28000;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-10-22;;;;;;48.33117482066357, 0.9993698325602361;"{""coordinates"": [[0.9986329300991138, 48.33136200145861], [0.9995035038639098, 48.331151420447355], [1.000100070759441, 48.33096366469565]], ""type"": ""LineString""}";117;1147;117.52646478;117.52646478324726
Saint-Victor-de-Buthon;;8;de Saint-Victor à la Grisonnière;28362;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr28.1;tr28.1-28362;TPerche.11-28362;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-03;;;;;;48.4220950777809, 0.9699013834321338;"{""coordinates"": [[0.9717055284182017, 48.429371732390635], [0.97149758282503, 48.42885837338066], [0.9714018465385198, 48.428375155717156], [0.9715125280769917, 48.42751522919154], [0.9711582866326804, 48.426736458393364], [0.9707808849796107, 48.426015106356665], [0.9705574327263541, 48.42538515685143], [0.9701901208698218, 48.42472918878172], [0.9697273402394302, 48.424396901406666], [0.9696304857479983, 48.42389821629864], [0.9696339721156176, 48.423012419328636], [0.9694949439997858, 48.42233390035461], [0.9696117537692983, 48.4212401978851], [0.969656324304792, 48.420364050592084], [0.9696890494292199, 48.419941035587875], [0.9697218124657154, 48.419575709383906], [0.9693688770414901, 48.41792130822747], [0.9686481216857311, 48.41613078091412], [0.9684008038479441, 48.41552835963706], [0.9680104676691789, 48.41476263550794]], ""type"": ""LineString""}";1673;1150;1673.32308558;1673.3230855790903
Saint-Victor-de-Buthon;;13;de la Borde à Malitourne;28362;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr30.1;tr30.1-28362;;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-03;;;;;;48.41819004044965, 0.9721929108514754;"{""coordinates"": [[0.9680967793094135, 48.41475054227493], [0.9690586261857321, 48.41554564415178], [0.9700373276185597, 48.41611714224001], [0.9706221221103879, 48.41646175659872], [0.9712568452118683, 48.416976222044084], [0.972008919469146, 48.41768814249983], [0.9728408678580743, 48.41861413015253], [0.9735273200289637, 48.419458058109505], [0.9738098076002883, 48.41994153679718], [0.9745188717503901, 48.420626066214744], [0.9752087026891859, 48.421217326222774], [0.9758084598344751, 48.42152928547957], [0.976153718712523, 48.42176019077014]], ""type"": ""LineString""}";990;1151;990.76245671;990.7624567090706
Saint-Victor-de-Buthon;;15;du Clos des Demoiselles à la Barre aux Popelins;28362;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr34.1;tr34.1-28362;TPerche.11-28362;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-03;;;;;;48.42191947125682, 0.9847557586480764;"{""coordinates"": [[0.9860789055690518, 48.422606079968745], [0.985407759828734, 48.422356439670054], [0.9849093756813422, 48.422058170509196], [0.9844372419711849, 48.42170250968254], [0.9840042524747475, 48.42144928272488], [0.9835721570090044, 48.421221980339794], [0.9834637371512436, 48.42116494548723]], ""type"": ""LineString""}";252;1152;252.84010089;252.84010089141404
Fontaine-Simon;;;de la Ballastière (impasse de la scierie);28156;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr1.2;tr1.2-28156;;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-10-03;2007-06-22;;;;;;48.506974270313215, 1.0241295659553484;"{""coordinates"": [[1.025132816069302, 48.50421959588947], [1.0249469702114191, 48.50458792770181], [1.0246503820224626, 48.50523298510853], [1.0242618348083612, 48.50622650646862], [1.0241542213706707, 48.50651518726264], [1.0239189247912803, 48.50733982956829], [1.0238057395367695, 48.507966505663035], [1.0237098982322579, 48.50809845274368], [1.0233966005348765, 48.50836445384571], [1.0235168170784643, 48.5085974011793], [1.0235952387675182, 48.5088357478898], [1.0236761724657342, 48.50906944526974], [1.023894105860473, 48.50971079675245]], ""type"": ""LineString""}";636;1154;636.87511558;636.8751155797254
Le Thieulin;;24;de la Houssaie au Bois Roger;28385;Entre Beauce et Perche;Illiers-Combray;NOGENT-LE-ROTROU;tr16.1;tr16.1-28385;F43.A-28385;Non;1;Chemin rural;Commune;Domaine privé de la commune;2010-10-01;2009-10-14;;;;;;48.40594823164767, 1.143051892421977;"{""coordinates"": [[1.1437464984266947, 48.405101290389766], [1.1434159610681713, 48.40555223453457], [1.1428565769015888, 48.4061327202704], [1.1424651538541764, 48.40667472695055], [1.1423710352575194, 48.40680633951614]], ""type"": ""LineString""}";215;1157;215.48858534;215.48858534160732
Le Thieulin;;19;de l'Auberge au Thieulin;28385;Entre Beauce et Perche;Illiers-Combray;NOGENT-LE-ROTROU;tr18.1;tr18.1-28385;F43.B-28385;Non;1;Chemin rural;Commune;Domaine privé de la commune;2010-10-01;2009-10-14;;;;;;48.41003128851048, 1.1270946564565583;"{""coordinates"": [[1.1327900784917397, 48.41105069421357], [1.130936886365265, 48.411520657387754], [1.1302346392212588, 48.4116775075022], [1.1298147355927284, 48.41171850634176], [1.1294547334522713, 48.41168425628512], [1.1279831602060448, 48.41102768711662], [1.1272913827447917, 48.41066913671472], [1.1256459555982685, 48.40957406680933], [1.1250975229728066, 48.40920824465369], [1.1247023742129896, 48.40890918117165], [1.123951406896242, 48.40845438422833], [1.12299774432309, 48.407920230612774], [1.1221012018912533, 48.40738935460486], [1.1218469216832392, 48.40719960818304], [1.1217613283773717, 48.4071206153025]], ""type"": ""LineString""}";1024;1158;1024.98495178;1024.9849517763464
Villiers-le-Morhier;;4;dit de la Vallée Masson;28417;Les Portes Euréliennes d'Ile-de-France;Epernon;DREUX;tr11.1;tr11.1-28417;TCentre.26-28227;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-31;;;;;;48.61036959052856, 1.5705230936558563;"{""coordinates"": [[1.5746961715663421, 48.60938350370796], [1.574391566155184, 48.609303190581294], [1.5741975333463787, 48.609309241147166], [1.5732427803396558, 48.609637556483214], [1.5721132664552409, 48.61025183389448], [1.5712532446240604, 48.61069080827596], [1.5708172725895762, 48.610881954313776], [1.570564293143597, 48.61094437749526], [1.569918125316616, 48.61094554457152], [1.5690037979533373, 48.61090777986505], [1.5683823364722231, 48.61082592349651], [1.5679659102138908, 48.61079413644752], [1.5671577590162968, 48.6104838941529], [1.566297501131932, 48.610110534647596]], ""type"": ""LineString""}";701;1159;701.31493273;701.3149327341681
Villiers-le-Morhier;;13;dit de Bouglainval (chemin du Lavoir);28417;Les Portes Euréliennes d'Ile-de-France;Epernon;DREUX;tr15.1;tr15.1-28417;F8.B-28227,TCentre.26-28227;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-31;;;;;;48.60815979893459, 1.5585079236274062;"{""coordinates"": [[1.5605188965899683, 48.608533713292815], [1.559724591940089, 48.608481786971055], [1.5587803530150803, 48.60837179981686], [1.557758643227474, 48.60794106151499], [1.557032934541402, 48.607703752686874], [1.556748106072203, 48.60761936825808], [1.5565414329656828, 48.6075644941597]], ""type"": ""LineString""}";317;1161;317.84188133;317.8418813318042
Villiers-le-Morhier;;;dit des Digues;28417;Les Portes Euréliennes d'Ile-de-France;Epernon;DREUX;tr16.1;tr16.1-28417;TCentre.26-28227;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-31;;;;;;48.61146546126326, 1.5549344962547391;"{""coordinates"": [[1.5565414329656828, 48.6075644941597], [1.5560063072433636, 48.607705587723615], [1.5557344545251246, 48.608073897344326], [1.5551939988027161, 48.60878594097116], [1.5546342064813947, 48.6095599057868], [1.554360339290099, 48.61011834650063], [1.5538879575520308, 48.610845761135316], [1.5537297495426527, 48.611115200090296], [1.553585376767704, 48.612088627451286], [1.5535197377009942, 48.612595244367604], [1.5536763720587565, 48.613047403048476], [1.5541708893069794, 48.61333905194947], [1.554701824825946, 48.613612097612084], [1.5562142193765978, 48.613963694843385], [1.5569626852831593, 48.614420274527646], [1.5573460681900981, 48.61457726292999]], ""type"": ""LineString""}";999;1162;999.05487748;999.0548774869328
