"geometry","juridique","pdipr","nom_commun","deliberati","nom_juridi"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[285029.96473579,6818621.491267892],[285041.408985079,6818609.376421988],[285050.489560295,6818597.850356233],[285057.194024798,6818577.979037219],[285062.550256346,6818561.91615059],[285068.860757455,6818548.923510199],[285080.785630973,6818536.924691049],[285110.517270861,6818517.336461684],[285137.948917887,6818498.796194239],[285166.260658306,6818474.172784161],[285186.710523745,6818452.381266073],[285226.745512622,6818405.677291545],[285275.106558203,6818354.228916558],[285309.699702564,6818316.723029844],[285389.405499057,6818233.871101638],[285418.144715276,6818206.506024541],[285437.37993988,6818190.210745869],[285448.753762569,6818180.504888538],[285459.321895027,6818171.265258432],[285465.183347143,6818162.053777307],[285471.958594987,6818147.218580108],[285482.290930463,6818123.680254776],[285491.844638562,6818100.248174049],[285500.325863018,6818073.956669138],[285507.952018056,6818056.836073859],[285521.214990849,6818039.779726079],[285540.735433654,6818017.985747239],[285556.258133385,6817998.612596872],[285566.698267295,6817984.677090158],[285577.994183016,6817965.358180629],[285591.133479927,6817936.740432293],[285600.993704353,6817910.437754411],[285609.523529158,6817886.444348287],[285621.369433986,6817864.702571726],[285633.920676567,6817833.811087898],[285649.357465522,6817800.13803251],[285662.433790958,6817774.848610321],[285681.512775955,6817742.974837504],[285698.252934803,6817718.455198525],[285713.767368035,6817698.062787225],[285741.457661919,6817667.048617302],[285785.764346981,6817622.13882991],[285824.553987518,6817591.944110849],[285840.463208597,6817579.573225624]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","Chemin de la Roche a Bel Air"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[283345.475839538,6821098.670919913],[283358.576875041,6821061.813137248],[283377.66252903,6821030.748741176],[283391.141249149,6820999.609851928],[283407.458871142,6820963.631116146],[283416.585937012,6820946.738180544],[283447.16253032,6820905.617209304],[283461.765625066,6820883.743139287],[283490.862004645,6820830.142342346],[283512.030167817,6820800.789944262]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","Chemin de l'Etang Priod a Notre Dame du Raut"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[285442.902778982,6818603.954821053],[285447.359997785,6818604.137998292],[285457.702188687,6818607.711785365],[285475.293116395,6818617.882460069],[285492.83484248,6818633.080233368],[285501.145697628,6818641.257470632],[285510.005734455,6818646.911910626],[285518.724479089,6818649.929227561],[285538.320749147,6818652.288767797],[285552.753292741,6818653.770757815],[285580.057465936,6818660.195123627],[285628.519831143,6818676.74126621],[285635.722976561,6818677.712216243],[285642.36982947,6818676.629025828],[285652.628529563,6818669.900251744],[285696.581006791,6818629.370432044],[285720.602567182,6818611.777181784],[285742.018425108,6818598.202423817],[285769.296824115,6818586.648796847],[285787.212068342,6818581.346994969],[285803.679752799,6818578.695192015],[285818.009403768,6818578.579062466],[285848.95044702,6818582.445608211],[285880.824625576,6818586.774282564],[285905.08172649,6818587.147324013],[285926.601565472,6818586.403296331],[285951.741591447,6818581.042940726],[285967.758190858,6818578.395012941]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","Chemin du Gue Chausset"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[285967.758190858,6818578.395012941],[285967.75960047,6818578.394779898],[285976.876329011,6818560.232770475],[285988.87119728,6818527.27713319],[286001.432780312,6818482.864423143],[286015.8866846,6818427.793366843],[286027.941844999,6818391.179645565],[286030.875581543,6818372.148350962],[286030.022060399,6818337.118276102],[286030.787288774,6818302.065089888],[286033.633966274,6818272.291557428],[286024.128095115,6818246.135824576],[286012.690733915,6818218.406789243],[286006.364888134,6818199.910237977],[285999.931494944,6818168.143275399],[285988.183016984,6818116.822261237],[285983.429422065,6818096.264315121],[285976.991251709,6818063.907781149],[285973.071342883,6818031.54083268],[285971.238365076,6817990.332769096],[285971.33834903,6817947.180308722],[285971.037653508,6817910.077124612],[285969.668536992,6817866.916586147],[285961.823174593,6817790.400487484],[285960.070304677,6817755.377717442],[285967.447828758,6817707.57930014],[285973.533745536,6817666.87669549],[285978.629148291,6817629.729787834],[285984.434284419,6817598.773056857],[285994.99547378,6817559.083496663],[285998.76544333,6817543.363532921]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","Chemin de Bel-Air au Plessix d'en Haut"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[283842.975698649,6820285.514308855],[283839.430881069,6820284.633626625],[283810.385530505,6820274.225940247],[283786.495491276,6820263.656561286],[283767.887861759,6820257.511454272],[283749.991919938,6820254.098786229],[283734.758284908,6820253.652588723],[283726.03759149,6820250.395428103],[283719.261040079,6820246.572875425],[283712.96450904,6820235.391253531],[283707.409886782,6820226.971806354],[283703.284225974,6820224.706740358],[283698.120575897,6820223.839174202],[283690.474852027,6820227.448797775],[283682.377590138,6820230.83223047],[283673.991355251,6820228.151979816],[283661.467557815,6820221.737722162]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","ZN(2) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[283842.987968574,6820285.513093094],[283847.918488961,6820285.024554618],[283855.903205257,6820282.551436692],[283864.630295658,6820286.598027375],[283866.79062057,6820297.913097265],[283863.535403802,6820306.873618352],[283858.256473527,6820317.679338282],[283851.490687785,6820329.986129817],[283859.122886462,6820354.308312433],[283870.200818862,6820378.382720467],[283881.578799145,6820398.787100755],[283886.790149728,6820406.064063638]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","ZN(2) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[286424.4501929,6816654.772707743],[286424.449231708,6816654.775398104],[286418.046832696,6816656.426235766],[286406.090566355,6816664.547857895],[286396.558399608,6816675.837735742],[286381.68873551,6816705.498813363],[286357.918011603,6816739.239395166],[286346.198523124,6816761.779610639],[286339.083165926,6816775.338395762],[286331.325809103,6816805.86122719],[286325.156330371,6816836.251268974],[286312.562516246,6816861.886540464],[286299.968578245,6816876.409123464],[286288.804703116,6816886.123271811],[286278.460621533,6816893.412366873],[286262.586762896,6816899.047396047],[286244.998390351,6816903.986787197],[286219.476387845,6816906.602047854],[286172.326984664,6816907.783646374],[286110.734514878,6816909.881770809],[286078.02419658,6816913.354760213],[286049.344010436,6816918.404028486],[286016.642586541,6816926.673788824],[285994.296799058,6816936.478557402],[285970.47056029,6816948.573824974],[285951.34142681,6816963.159362123],[285930.794294997,6816984.042256413],[285913.335900477,6817005.020039684],[285901.451056067,6817021.955282484],[285892.122371281,6817043.556726815],[285885.059971328,6817063.650784127],[285881.344638752,6817097.218836662],[285878.706682937,6817167.543980143],[285874.294893795,6817218.756080829],[285868.856909441,6817239.5265226],[285859.402721076,6817260.439440748],[285849.262041732,6817278.030110795],[285833.360098943,6817294.997911882],[285810.38967007,6817312.81247843],[285783.281341625,6817330.550651384],[285753.066700348,6817346.025502694],[285722.017653358,6817358.298835509]]}","chemin rural","2021-10-11","LE MENE,TREDANIEL","2020-10-29","ZH(29,26) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[283947.000535588,6821205.096421731],[283953.892752815,6821242.578220679],[283959.906387119,6821263.245935748],[283965.451884973,6821281.6389355],[283969.330373426,6821294.099334143],[283981.697832619,6821310.818118673],[283993.16602075,6821327.554183179],[283997.958051758,6821338.058455539],[283999.192772695,6821349.840733749],[284001.794436507,6821360.122910807],[284007.7060533,6821368.199694575],[284013.823875528,6821375.825101879],[284023.74798467,6821383.299746987],[284032.161494099,6821389.578442262],[284040.292872766,6821391.878313343],[284063.266435147,6821392.822145777],[284078.649915692,6821391.669130984],[284089.022489436,6821390.886689538],[284099.702467355,6821391.217609621],[284108.640606247,6821393.65865308],[284114.900659207,6821399.620009488],[284118.03661182,6821405.540708907],[284119.52997851,6821422.07562096],[284118.334985585,6821438.842571243],[284116.511720881,6821472.649159413],[284117.943600127,6821479.163287414],[284119.755205751,6821485.311016774],[284123.961103537,6821480.046435773],[284135.701139085,6821464.513845702],[284139.836646276,6821458.261323809],[284143.496849465,6821455.120848289],[284147.821501535,6821454.31611154],[284167.877966829,6821457.652737518],[284178.472803806,6821458.188438411],[284192.005062735,6821458.018325309],[284199.995449381,6821458.342505414],[284202.234947144,6821431.075145073],[284202.293502536,6821428.708106482]]}","chemin rural","2021-02-15","TREDANIEL","2020-10-29","ZB(12) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[243812.081545509,6871571.869450661],[243866.459034357,6871571.430753245],[243906.440224562,6871573.39678551],[243930.707172468,6871586.023091854],[243952.708184054,6871603.934427645],[243986.828372521,6871630.102831702],[244017.229797078,6871652.423631113],[244041.540122796,6871670.42626765],[244058.917422615,6871683.807725156],[244086.744051276,6871699.143621002],[244102.275414726,6871706.693579415],[244126.702318274,6871713.132411348],[244145.058680576,6871717.801341784],[244161.458955239,6871721.566620921],[244173.744534346,6871724.435670401],[244173.748858634,6871724.434496455]]}","chemin rural","2021-02-15","TREDARZEC","2020-12-10","AC(155)commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[216706.696448017,6863175.896391119],[216705.977939241,6863183.466573404],[216706.567809244,6863185.980250468],[216712.898439164,6863190.276589035],[216717.428958489,6863198.145185341],[216727.680753676,6863220.278786653],[216736.8532668,6863234.965739433],[216744.560626586,6863242.688848142],[216744.572784646,6863242.69125721]]}","chemin rural","2021-02-15","TREDREZ-LOCQUEMEAU","2020-11-12","C(630) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[216744.572784646,6863242.69125721],[216747.323304995,6863243.236261306],[216751.898155664,6863241.710381172],[216757.702625835,6863236.506902438],[216764.965145429,6863229.93254202],[216769.712138314,6863223.718210488],[216777.348963693,6863218.949705884],[216782.493420808,6863217.419242218],[216788.230562483,6863218.752214049]]}","chemin rural","2021-02-15","TREDREZ-LOCQUEMEAU","2020-11-12","C(630,478) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[217468.724285015,6820945.569353885],[217476.271547891,6820929.709015358],[217490.21810288,6820915.526022174],[217518.745099908,6820887.694577035],[217543.168314814,6820864.023446188],[217560.649061634,6820845.684723699],[217574.036538292,6820829.087825787],[217580.481011631,6820821.48092876],[217583.852897963,6820812.059979157],[217587.313834225,6820802.528385234],[217591.323656799,6820786.696524595],[217593.603989628,6820772.027828936],[217594.610432759,6820755.530601136],[217595.513747252,6820726.222653025],[217596.187046353,6820664.617859699],[217597.885691023,6820577.691512199],[217599.62032171,6820510.132104626],[217601.040649466,6820388.645997035]]}","chemin rural","2021-10-11","TREFFRIN,TREBRIVAN","2021-01-12","CR 1"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[217450.779715944,6819342.937037942],[217450.786276829,6819342.94155152],[217469.602239501,6819307.983074153],[217487.018018816,6819277.85268684],[217495.67580538,6819258.425778603],[217506.119951531,6819233.727962945],[217511.251915166,6819219.49602525],[217514.02195202,6819206.072580101],[217514.543312099,6819200.115539899]]}","chemin rural","2022-06-20","TREFFRIN,TREBRIVAN","2021-01-12","CR 14"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[217106.85814469,6820069.762055444],[217087.96793918,6820099.224771891],[217061.833902095,6820137.549989182],[217046.751581849,6820155.889374791],[217033.90505734,6820168.924251825],[217019.934696556,6820180.14937583],[216991.767932594,6820196.865228913],[216925.180868014,6820230.259550605],[216900.681963322,6820244.527472985],[216887.281187786,6820255.74801104],[216878.51867884,6820265.891898491],[216871.542342965,6820278.189976828],[216864.680957996,6820293.595078965],[216857.745670261,6820314.717004045],[216852.67774768,6820340.630725952],[216852.25013333,6820358.272529218],[216854.643501815,6820443.307143228],[216856.138910572,6820483.8283631],[216857.135361764,6820521.955182984],[216860.182301536,6820546.654345709],[216866.882625126,6820567.106882622],[216881.226223901,6820602.248164102],[216900.927620627,6820643.762086109],[216918.263579597,6820678.199730272],[216930.08174517,6820697.561764372],[216941.431469455,6820710.871563831],[216968.549551061,6820738.924625434],[216997.031110314,6820765.037983632],[217027.118547521,6820789.529476047],[217058.889731651,6820810.899464219]]}","chemin rural","2021-10-11","TREFFRIN","2021-01-12","CR 7"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[216738.234246925,6819600.855860627],[216740.730574748,6819603.059368318],[216754.757828796,6819617.760575128],[216756.83748197,6819619.976413752],[216757.254430547,6819622.273580192],[216750.576409788,6819641.987199103],[216743.24237641,6819663.091755378],[216736.841378677,6819684.616495108],[216732.916601271,6819697.478579089],[216732.191570272,6819708.008838721],[216730.123911387,6819720.395915956],[216713.092776026,6819724.219032289]]}","chemin rural","2021-10-11","TREFFRIN","2021-01-12","CR 5"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[217058.888260953,6820810.903813004],[217053.179505785,6820827.784325276],[217045.752151697,6820843.643694337],[217026.893760175,6820873.336018972],[217003.781185647,6820903.402364806],[216983.104281635,6820926.923407452],[216969.166167351,6820942.155634811],[216958.476758101,6820951.28571755],[216949.134094287,6820956.397601761],[216938.05268958,6820961.52348217],[216927.184405658,6820963.329834616],[216912.444256891,6820964.58773623],[216865.392257276,6820966.695346489],[216852.12104468,6820967.94142306],[216838.741019272,6820970.567466052],[216829.051058372,6820973.50358147],[216820.487829492,6820978.609190648],[216805.162345959,6820992.813269573],[216780.194383281,6821019.576736048],[216761.566670656,6821040.682863],[216749.905937498,6821055.776836229],[216738.842381349,6821074.293742631],[216723.272421619,6821102.820348063],[216716.514292452,6821116.155991453],[216708.47296124,6821141.404117495],[216702.619667397,6821170.312207109],[216700.295020125,6821194.375068964],[216699.472907136,6821218.875540256],[216698.512541452,6821241.098626791],[216701.225052078,6821265.220877788],[216703.637828566,6821296.800628086],[216701.914282436,6821309.875892644],[216692.095913112,6821341.55409786],[216679.415850263,6821371.546464976],[216649.311670604,6821430.640000019],[216642.185433742,6821442.939294186],[216631.496017845,6821452.069377217],[216621.849407508,6821460.39159314],[216611.47495254,6821467.68035262],[216604.661466346,6821473.80883923]]}","chemin rural","2021-10-11","TREFFRIN","2021-01-12","CR 8 dit du Vern"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[216941.08024101,6819943.025749269],[216945.473302739,6819949.321332852],[216950.373729015,6819966.327419312],[216965.874912848,6819998.07669846],[216971.097523426,6820016.350877381],[216969.788020076,6820030.884487074],[216970.179673651,6820036.821722659],[216974.000300956,6820040.783726122],[216997.15828362,6820050.507718904],[217014.149639664,6820056.861904139],[217027.896754645,6820059.39494225],[217059.415540014,6820067.243684408],[217078.608470352,6820067.645206859],[217106.853854451,6820069.76173396]]}","chemin rural","2021-10-11","TREFFRIN","2021-01-12","A(646)commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[217398.007566936,6819657.78103752],[217398.167020987,6819651.551589069],[217394.245607157,6819644.847604817],[217382.436237603,6819630.302339553],[217361.101933603,6819609.398001017],[217345.740328881,6819593.042546006],[217339.809782417,6819582.557243548],[217336.201397958,6819573.772112427],[217334.939630285,6819558.552328232],[217331.766681948,6819536.822239315],[217314.000278753,6819448.913418144],[217301.894617297,6819393.837314638],[217294.449582094,6819351.635165718],[217290.652401185,6819319.397050757],[217290.649918925,6819319.384836751]]}","chemin rural","2021-10-11","TREFFRIN","2021-01-12","A(531) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[243275.408884806,6868034.011103369],[243275.408854728,6868034.010846799],[243273.241433673,6868021.775931174],[243267.73112613,6868003.971455136],[243265.328464814,6867992.308084268],[243262.621827536,6867983.845182286],[243259.855000235,6867979.070478674],[243253.160783889,6867974.31746508],[243245.241118451,6867970.034052513],[243232.238237389,6867963.72293127],[243222.239831891,6867958.197069624],[243209.719363355,6867952.221845672],[243201.782497505,6867949.198810023]]}","chemin rural","2022-06-20","LA ROCHE-JAUDY,TROGUERY","2020-11-12","CR 5"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[244349.962728605,6868999.830167448],[244346.203456199,6869001.237074856],[244341.851674593,6869000.682551073],[244335.987293075,6868998.451277274],[244322.63252944,6868989.404695754],[244301.134782947,6868978.125236779],[244288.824155002,6868972.148324332],[244276.647393437,6868967.899260886],[244270.722502327,6868969.316215732],[244267.614795376,6868970.600509211],[244264.21842003,6868973.266277491],[244257.983682674,6868980.871900623],[244248.611366151,6868997.207446848],[244241.512813573,6869012.945007206],[244232.623877052,6869029.736369004],[244228.884275994,6869034.453637634],[244223.266677533,6869036.797537412],[244219.04610142,6869037.641088083],[244207.829986182,6869037.261871619],[244193.028817005,6869034.742922654],[244175.612176801,6869031.345632364],[244150.852257115,6869028.217457773],[244122.079844093,6869025.711290407],[244090.962917214,6869026.182205788],[244046.407040141,6869025.752170514],[244031.045452616,6869024.377035518],[244018.795442392,6869022.19727913],[244000.199283432,6869017.530295072],[243984.602926964,6869013.06896627],[243976.083662808,6869008.790391468],[243971.82511289,6869004.927163074]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY,TROGUERY","2020-11-12","CR 2"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[244349.968166318,6868999.829372297],[244344.504314708,6869006.167738574],[244336.7858284,6869011.956466187],[244329.525836155,6869022.548517412],[244325.39572316,6869034.604394031],[244324.33317875,6869044.117080759],[244325.862159501,6869051.540139847],[244328.671066542,6869057.81357787],[244333.292193532,6869062.023663374],[244340.440707834,6869067.342658067],[244347.892228422,6869069.341262812],[244360.621024745,6869071.407221304],[244375.739068831,6869072.324602068],[244402.192098475,6869073.490318912],[244418.80347285,6869073.696083849],[244429.341025865,6869075.439931593],[244432.909081916,6869079.188804153],[244434.001821971,6869084.566651809],[244431.961860416,6869088.130913694],[244420.367246182,6869096.57928813],[244401.131680791,6869112.994416226],[244381.771990615,6869125.173169629],[244366.057703036,6869135.823439254],[244347.399634324,6869149.495603194],[244331.016135928,6869162.66971238],[244313.868583784,6869181.47650199],[244295.707211223,6869200.971050455],[244281.326962047,6869220.894807673],[244265.02303988,6869243.932167212],[244258.122799399,6869254.521317285],[244253.612613239,6869264.061821511],[244250.157191591,6869274.273395084],[244247.400570046,6869285.628619179],[244245.459535462,6869301.4544912],[244240.656501242,6869315.574524688],[244235.804056621,6869327.286448045],[244224.579929176,6869340.778708393],[244217.547259649,6869346.102187959],[244209.091686532,6869349.71821174],[244199.150509609,6869351.287495924]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 5"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[241743.461308527,6866716.034658341],[241752.987731925,6866703.935285788],[241759.484856746,6866687.972764091],[241764.098175178,6866661.481989445],[241773.111609713,6866630.388560757],[241777.581176612,6866615.811543915],[241782.803365887,6866597.900524436],[241791.853415472,6866582.497050914],[241804.086683832,6866567.737484476],[241817.008591812,6866552.862431583],[241823.363247388,6866545.255868169],[241827.313020262,6866536.859206486],[241829.844080678,6866523.55704454],[241828.798401146,6866509.144442066],[241825.109178748,6866475.50512669],[241824.497471897,6866459.140235456],[241824.853328354,6866443.786906127],[241828.158452552,6866429.808917468],[241832.279704469,6866412.936141025],[241841.241492705,6866390.307872553],[241854.533199538,6866361.808305616],[241881.017497711,6866311.106058553],[241893.29498815,6866286.961971297]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 111"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[241893.296772124,6866286.964110618],[241899.652572116,6866294.585916814],[241908.299063482,6866299.772902537],[241938.297520373,6866313.042521981],[241973.875856655,6866326.726845132],[241990.34013075,6866334.718985444],[242001.490632934,6866341.834560726],[242014.94237577,6866348.042125874],[242033.328960319,6866356.468479905],[242046.316590609,6866364.608589633],[242057.511985682,6866373.572653273],[242071.064169464,6866392.23166764],[242086.197040354,6866409.858565059],[242101.655405218,6866423.235476927],[242116.195613407,6866438.008931762],[242132.088112321,6866449.453540449],[242154.872579919,6866464.150498235],[242169.370226652,6866473.647575892],[242175.158204348,6866481.276116188],[242182.483926833,6866493.699264532],[242192.808969443,6866509.985802454],[242202.530715849,6866525.817492803],[242206.892103992,6866538.714274262],[242211.36753322,6866554.598278949],[242215.938970521,6866582.384112768],[242217.647611274,6866608.364176868],[242217.779652455,6866624.732939615],[242220.72846138,6866637.201390114],[242226.098025947,6866648.710897039],[242235.411677859,6866669.70267678],[242250.03782215,6866695.128820829],[242274.886982349,6866735.343260105],[242300.570481226,6866771.203670765],[242324.005881807,6866807.645239131]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 112"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[242089.013171891,6866885.340379983],[242109.420097308,6866906.35261191],[242139.464871631,6866940.229060633],[242208.926643695,6867017.650305132],[242247.746714104,6867061.529711473],[242270.930212641,6867084.808125311],[242282.115458428,6867092.513056652],[242293.606375248,6867097.227377856],[242304.267452774,6867099.419963206],[242317.193343744,6867099.905327732],[242356.686726114,6867097.168247455],[242392.163025843,6867094.483558394],[242411.866928563,6867095.24404048],[242432.159706951,6867098.388288658],[242451.865069368,6867103.046337984],[242478.299215033,6867113.026768255],[242542.569392063,6867145.247979579],[242655.999691208,6867198.609244111],[242681.0515714,6867211.918761819],[242692.685545211,6867219.500145189],[242704.343461742,6867230.049492518],[242721.754788357,6867247.658015409],[242740.160524933,6867269.605817434],[242764.499056014,6867294.833693451],[242772.707878091,6867301.513284557],[242777.520307974,6867303.42325258],[242792.390108708,6867303.303296916],[242811.640615571,6867303.607716152],[242823.23581495,6867306.382396013],[242830.035603888,6867313.073353644],[242833.941433813,6867328.961961851],[242842.968816928,6867370.213484189],[242852.414119856,6867403.806388227],[242865.559302156,6867431.52224746]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 109"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[240647.489180326,6866771.475505683],[240637.15747611,6866769.160455388],[240627.3029482,6866766.601575429],[240602.664939207,6866763.712209117],[240594.529393758,6866762.398682226],[240588.304310209,6866760.050380168],[240577.042116852,6866753.955057769],[240569.910235765,6866750.694640617],[240564.410139068,6866749.02006891],[240557.190660142,6866749.767867906],[240549.766886525,6866751.206886061],[240538.257048988,6866755.297232499],[240509.598182894,6866766.861332628],[240486.879349226,6866775.169517628],[240468.162202373,6866781.516626149],[240455.230436043,6866784.019433699],[240444.923076589,6866784.792136562],[240415.965696698,6866785.365473264],[240399.972402528,6866787.443251571],[240386.353930266,6866790.301379479],[240372.089773289,6866794.883646688],[240350.965408837,6866803.868541121],[240329.176902869,6866812.289145599],[240321.080124229,6866815.782317277],[240313.860644885,6866816.530114874],[240299.200708008,6866816.648349119],[240275.072835215,6866817.532514608],[240249.41045087,6866817.739484076],[240231.65989344,6866817.542854769],[240217.675540332,6866815.926713749],[240209.899909396,6866814.630269175],[240209.895294086,6866814.618481703]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 112"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[240198.768934622,6866798.680628644],[240198.7681069,6866798.680014738],[240205.537405386,6866786.722816296],[240220.068067064,6866770.575586923],[240236.004539326,6866757.73495774],[240241.447412754,6866752.314401744],[240243.131335667,6866749.212739794],[240243.726646228,6866737.525198622],[240243.31192501,6866726.995089326],[240241.138974015,6866714.070657167],[240235.444078921,6866688.242666773],[240232.577894052,6866674.864111702],[240231.080768593,6866660.235285387],[240231.283441151,6866640.755756509],[240227.48152745,6866626.595239375],[240224.543771993,6866600.625088776],[240216.197882569,6866588.100225703],[240210.41644527,6866581.281120867],[240209.304301423,6866573.494935604],[240210.559640743,6866558.144346504],[240209.745513881,6866542.700516307],[240208.932192977,6866527.356617676],[240210.605474993,6866519.218173109],[240221.62483032,6866495.204173624],[240229.597731779,6866476.351551086],[240232.567538853,6866461.686700896],[240238.545596849,6866437.123727355],[240243.131390468,6866422.086068155],[240245.125257692,6866412.80574693],[240247.441403004,6866402.593404388],[240247.443034483,6866402.591573818]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 112"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[240412.620454258,6862891.378955117],[240403.487955874,6862896.378759101],[240394.996079028,6862906.640884251],[240383.661247016,6862921.273224381],[240377.137369885,6862933.917979048],[240369.83685777,6862954.354136329],[240365.223755359,6862962.286413011],[240356.599064648,6862970.950608028],[240338.628244594,6862988.044966487],[240315.970412579,6863003.907919922],[240294.558816203,6863018.161820156],[240265.168690547,6863035.698060459],[240230.741875281,6863053.254935202],[240204.618041521,6863066.867264249],[240160.734845093,6863090.336761852],[240129.488818343,6863108.237749601],[240116.184528315,6863116.589904133],[240110.71257863,6863122.12061117],[240108.057479783,6863131.196372298],[240106.219562694,6863144.94262281],[240104.398329016,6863160.757447431],[240103.351568578,6863187.099450205],[240103.728276158,6863233.807252613],[240103.609587904,6863263.699551014],[240102.185019063,6863284.088320892],[240098.875544929,6863312.397359065],[240098.690283866,6863334.03534852],[240100.749760726,6863347.760161754],[240105.681783522,6863375.652950432],[240106.555382833,6863387.318619552],[240103.939130655,6863401.211062921],[240100.482328552,6863414.970372943],[240092.86355872,6863433.120530824],[240083.971473852,6863453.239736005],[240079.365301294,6863465.749102182],[240077.859410163,6863476.054823757],[240078.284366838,6863487.85403111],[240080.064846338,6863507.877167335],[240079.93858565,6863521.957811696]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 142"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[240705.626702079,6866470.802911501],[240705.627050498,6866470.803305224],[240711.407698349,6866492.393232113],[240718.820211251,6866515.578997472],[240722.610608216,6866532.028182718],[240725.980007418,6866552.038552367],[240724.831776722,6866565.799266226],[240722.539572814,6866578.979573391],[240717.509573566,6866594.70039703],[240707.292903741,6866621.586140694],[240697.462584158,6866651.766719127],[240689.36381641,6866681.033891398],[240682.313353928,6866702.73730434],[240668.530430997,6866740.964783216],[240662.220983739,6866754.177492767],[240655.556857711,6866764.304981935],[240650.328597131,6866770.313442602],[240647.489740428,6866771.475631186]]}","chemin rural","2021-02-15","LA ROCHE-JAUDY","2020-11-12","CR 113"
