"geometry","juridique","pdipr","nom_commun","deliberati","nom_juridi"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[248235.672457074,6826005.335195373],[248245.863148764,6825998.319983511],[248252.433479516,6825990.561207561],[248264.770441147,6825975.166428018],[248283.74203414,6825960.129664629],[248299.185238289,6825951.186837139],[248313.502804825,6825946.998857198],[248327.531003204,6825942.93264253],[248337.418548099,6825940.503359458]]}","chemin rural","2026-06-22","SAINT-GILLES-PLIGEAUX","2026-02-13","WC(78) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[214135.314740171,6852651.145840367],[214147.301503442,6852649.52561943],[214155.08785244,6852648.443622704],[214164.811583231,6852645.946926867],[214169.135549987,6852643.053952798],[214172.996967667,6852638.565714686],[214175.74729378,6852626.401292195],[214181.869921046,6852589.945135967],[214188.610395419,6852529.669123124],[214189.532000022,6852517.519414306],[214188.43810433,6852508.254100732],[214186.435199107,6852501.524495891],[214181.545865055,6852493.768779338],[214175.682980811,6852487.979652222],[214138.462296453,6852460.116978072],[214117.048227632,6852444.259434533],[214101.880669093,6852437.156047793],[214088.31687272,6852431.888584768],[214061.936433381,6852424.785465313],[214025.988413959,6852413.502020897],[213994.12446596,6852406.772806893],[213994.116983808,6852406.777046253]]}","chemin rural","2025-12-15","TREMEL","2025-06-13","CR 9 dit de Pen ar Voas"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[275405.59647794,6839196.809930241],[275405.587898813,6839196.803434029],[275391.049500973,6839182.270507395],[275381.58362227,6839172.153663734],[275372.079806483,6839157.350131148],[275367.604990961,6839141.586479832],[275368.017905381,6839122.225544402],[275371.624802249,6839101.139843931],[275379.794272299,6839077.029126475],[275388.814536108,6839061.725872533],[275397.780838115,6839010.1263223],[275401.629784952,6838974.497985563],[275401.970382965,6838946.203365578],[275393.777969982,6838923.034576623],[275386.436534817,6838908.319708875]]}","chemin rural","2023-05-02","SAINT-BRIEUC","2022-05-09","BE(275,20) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[247928.816493618,6849357.254056549],[247940.424381562,6849365.404706418],[247977.530178514,6849364.085823368],[247986.809344644,6849365.949688252],[247989.290914467,6849376.243110399],[247990.542755491,6849385.97319874],[247994.337775822,6849388.843178188],[248001.910714039,6849391.814733273],[248014.80875864,6849394.371759906],[248031.544166031,6849395.245235443],[248045.758015311,6849391.764758919],[248062.976198322,6849388.643983814],[248062.989456993,6849388.64321221]]}","chemin rural","2021-10-11","PABU","2020-10-19","AC(27,26,25) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[219473.1422282,6835594.680905051],[219474.372731587,6835661.875997991],[219474.63821426,6835694.852504781],[219472.729218743,6835714.68504092],[219467.442077776,6835739.441602845],[219460.770528792,6835763.539744136],[219451.488533164,6835791.0966757],[219444.087893765,6835810.283870934],[219439.421666436,6835830.238541516],[219438.208614785,6835850.864959256],[219440.387678253,6835864.578526527],[219446.700606016,6835881.586659264],[219461.235062148,6835906.893188529],[219495.403329521,6835969.007723114],[219523.918281357,6836014.118808835],[219537.786796467,6836031.18603804],[219558.506914566,6836057.691962099],[219600.804196206,6836105.440313429],[219628.382539176,6836134.759168122],[219676.854463609,6836182.337887376],[219709.971006738,6836214.360377054],[219730.071818172,6836234.695285204],[219745.34695138,6836255.178973061],[219761.33371828,6836278.405153554],[219781.480507566,6836319.346358461],[219801.640724702,6836350.783605457],[219828.071932728,6836390.29510936],[219855.062760891,6836428.562910339],[219873.783141297,6836452.456638802],[219884.92899774,6836470.215357776],[219891.219890125,6836484.48544603],[219893.421163861,6836500.957056873],[219894.932767464,6836517.414233357],[219892.456875828,6836552.481495907],[219894.612935557,6836563.337104524],[219898.80303923,6836573.616699258],[219906.451630986,6836585.22757087],[219925.185339536,6836607.052532545],[219944.510848261,6836631.630945851],[219957.705473949,6836650.642351493],[219968.184028706,6836671.164661347],[219976.6052386,6836693.092636779],[219981.529021198,6836708.852777363],[219996.886145196,6836739.519225104],[220017.745467457,6836783.312857714],[220045.647536732,6836837.94274669],[220054.040912084,6836856.413184582],[220060.415640234,6836881.095868754],[220072.576526116,6836939.280278416],[220082.641127895,6836994.033796966],[220089.705366632,6837018.710932503],[220098.784593648,6837051.616516029],[220108.583700667,6837073.393494519],[220114.903159086,6837091.211065735],[220126.871362424,6837125.462506724],[220134.647156478,6837152.872146068],[220143.732413938,6837175.364229209]]}","chemin rural","2026-06-22","CALANHEL,LA CHAPELLE-NEUVE,LOHUEC","2026-02-27","Chemin du vieux pave "
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[316521.72102158,6810540.384996515],[316540.409553893,6810576.277560611],[316583.90508334,6810645.647911336],[316602.703577049,6810675.265426754],[316618.061969578,6810705.82030595],[316635.874505814,6810743.230693011],[316647.845050103,6810762.710449367],[316658.862245758,6810783.996590984]]}","chemin rural","2025-02-03","CAULNES","2024-07-12",""
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[314641.589904261,6811591.453539142],[314641.590681231,6811591.450885383],[314658.330948489,6811537.510356948],[314675.445439512,6811474.282919388],[314689.195190514,6811421.266106271],[314698.495494565,6811396.236998226],[314710.71523825,6811365.228096681],[314722.491723946,6811335.012276852],[314724.146809603,6811324.705623372],[314718.930944155,6811317.412859106],[314718.928115588,6811317.411909051]]}","chemin rural","2025-02-03","CAULNES","2024-07-12","CE 23"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[246729.548557006,6839060.545290153],[246739.04164083,6839057.582498084],[246755.118224018,6839052.167729701],[246782.560294051,6839042.101784594],[246814.98600592,6839029.665761609],[246835.058397889,6839021.957972667],[246851.831448486,6839012.723563329],[246876.651992754,6838996.691094806],[246876.661957947,6838996.683669137]]}","chemin rural","2025-12-15","SAINT-ADRIEN","2025-07-31","CR 63 de grande circulation de l'embranchement a la station de St-Adrien"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[229926.147442866,6803607.624168062],[229922.416638956,6803622.793303814],[229921.632234758,6803640.777544337],[229922.82084266,6803672.936343912],[229921.288456017,6803709.703995778],[229920.326787928,6803720.574447921],[229910.956700257,6803737.13889966],[229889.983364034,6803761.012036714],[229875.415511636,6803772.461852761],[229872.598609122,6803780.049476343],[229872.659505138,6803787.60390884],[229876.47538563,6803792.369925914],[229888.73283354,6803806.711415786],[229904.614266704,6803831.766474459],[229911.481584983,6803843.16342205],[229919.530875545,6803848.70476985],[229928.045071951,6803852.41359878],[229947.891388397,6803859.808541167],[229967.925534158,6803871.908806743],[229976.117774404,6803880.307081738],[229980.280168882,6803884.188628073]]}","chemin rural","2026-06-22","MELLIONNEC","2025-12-18","CR138"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[212888.146248116,6852868.72253033],[212888.154902124,6852868.722542356],[212899.390133812,6852871.500343174],[212922.680079791,6852878.29855983],[212945.312255694,6852885.321927949],[212965.95769613,6852891.351918075],[212978.001317293,6852893.99329774],[212989.102726286,6852895.043271226],[213002.506170784,6852895.285227052],[213016.125492109,6852892.547335512],[213022.05306212,6852891.470304874]]}","chemin rural","2025-12-15","TREMEL","2025-06-13","CR 6"
